id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link
file_mass_times,Parish_Mass_Schedule.pdf,application/pdf,fld_church,450000,2026-01-10T08:00:00,2026-09-01T10:15:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_mass_times
file_volunteer_note,Volunteer_Opportunities_Oct.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_church,34200,2026-09-20T14:00:00,2026-09-28T16:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_volunteer_note
fld_hotel_work,Hotel_Work_Records,application/vnd.google-apps.folder,,0,2026-02-01T08:00:00,2026-09-30T09:00:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/fld_hotel_work
file_shift_schedule,Housekeeping_Schedule_Sept.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_hotel_work,18900,2026-08-25T10:00:00,2026-09-15T11:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_shift_schedule
file_hotel_training,Room_Service_Training.pdf,application/pdf,fld_hotel_work,2100000,2026-03-01T09:00:00,2026-03-15T14:00:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_hotel_training
fld_archived_events,Archived_Events_2024,application/vnd.google-apps.folder,,0,2025-01-01T09:00:00,2025-12-31T17:00:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/fld_archived_events
file_garcia_event,Garcia_Quinceanera_2024.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_archived_events,56780,2024-08-10T13:00:00,2024-09-15T16:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_garcia_event
file_sanchez_pics,Sanchez_Event_Photos_2024,application/vnd.google-apps.folder,fld_archived_events,0,2024-07-20T14:00:00,2024-09-20T10:00:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/file_sanchez_pics
file_old_template,Event_Planning_Template_v1.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_archived_events,42100,2024-05-01T10:00:00,2024-06-15T12:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_old_template
file_distractor_001,Family_Recipes_Collection.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_household,125000,2026-02-14T15:00:00,2026-08-22T17:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_001
file_distractor_002,Car_Maintenance_Log_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_household,12400,2026-01-05T09:00:00,2026-09-15T10:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_002
file_distractor_003,Sofia_School_Year_Info.pdf,application/pdf,fld_household,890000,2026-08-15T10:00:00,2026-09-01T14:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_003
file_distractor_004,Miguel_Piano_Progress.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_household,34500,2026-09-10T16:00:00,2026-09-27T17:15:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_004
file_distractor_005,Isabella_Dance_Recital_Notes.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_household,25600,2026-08-20T14:00:00,2026-09-18T15:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_005
file_distractor_006,Tax_Documentation_2025.pdf,application/pdf,fld_household,1200000,2026-02-01T10:00:00,2026-03-15T11:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_006
file_distractor_007,Health_Insurance_Cards_Scans.pdf,application/pdf,fld_household,890000,2026-01-10T09:00:00,2026-06-20T14:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_007
file_distractor_008,Parish_Fundraiser_Notes_Oct.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_church,23400,2026-09-25T15:00:00,2026-10-01T16:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_008
file_distractor_009,Yolanda_Contact_Birthday_Reminder.txt,text/plain,fld_household,1250,2026-07-15T10:00:00,2026-07-20T11:00:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_009
file_distractor_010,Rosa_Video_Call_Schedule_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_household,8900,2026-01-01T08:00:00,2026-09-20T09:15:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_010
file_distractor_011,Hotel_Shift_Swap_Log.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_hotel_work,15600,2026-05-01T10:00:00,2026-09-30T14:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_011
file_distractor_012,Carmen_Davidson_Contact_Notes.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,18500,2026-09-01T11:00:00,2026-09-28T15:20:00,carmen.davidson@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_012
file_distractor_013,Wedding_Vendor_References_2025.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_archived_events,31200,2025-01-15T10:00:00,2025-08-20T16:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_013
file_distractor_014,Prior_Event_Invoice_Templates.pdf,application/pdf,fld_archived_events,1400000,2024-12-01T09:00:00,2025-05-15T14:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_014
file_distractor_015,Catering_Options_Research.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,45600,2026-08-01T14:00:00,2026-08-25T17:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_015
file_distractor_016,Florist_Quote_Comparison.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,29400,2026-07-10T15:00:00,2026-08-10T16:15:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_016
file_distractor_017,DJ_Entertainment_Options.pdf,application/pdf,,850000,2026-06-20T10:00:00,2026-07-05T14:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_017
file_distractor_018,Photography_Package_Analysis.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,52100,2026-05-15T13:00:00,2026-06-10T17:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_018
file_distractor_019,Venue_Comparison_Spreadsheet.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,36700,2026-04-01T09:00:00,2026-05-20T15:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_019
file_distractor_020,Event_Timeline_Template.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,28900,2026-03-10T14:00:00,2026-04-15T16:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_distractor_020
